,model,accuracy,precision,recall,f1,roc_auc,cv_mean,cv_std,train_time_sec,inference_time_sec,model_size_kb,latency,throughput,efficiency,stability,interpretability
0,DecisionTree_default,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.010000351001508534,0.002221332979388535,3.609375,1.3669741411621754e-06,731542.7336100294,0.27705627705627706,inf,5
3,RandomForest_small,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16785713494755328,0.03689427603967488,219.8525390625,2.2704169870569157e-05,44044.772643120275,0.004548503302550982,inf,3
5,ExtraTrees_fast,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13419366400921717,0.038403025013394654,278.919921875,2.3632630777473633e-05,42314.37495960835,0.0035852584257074233,inf,3
4,RandomForest_large,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9632899020216428,0.17594148399075493,1325.0029296875,0.00010827168245584919,9236.02531444709,0.0007547153123924401,inf,3
6,ExtraTrees_large,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7322643419611268,0.15527117304736748,1701.60546875,9.555149110607229e-05,10465.56143106018,0.0005876802927382458,inf,3
7,GradientBoosting_fast,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2637837259680964,0.0020425160182639956,69.9697265625,1.256932934316305e-06,795587.3958732246,0.014291895211377689,inf,2
10,AdaBoost_heavy,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9513864779728465,0.04742309800349176,163.9052734375,2.91834449252257e-05,34266.00261080268,0.006101084968332748,inf,2
8,GradientBoosting_slow,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.04889794299379,0.0061692530289292336,261.228515625,3.79646340241799e-06,263403.03961921355,0.0038280660042318074,inf,2
23,SVC_poly,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7509355699876323,0.009414763015229255,45.8994140625,5.793700317064157e-06,172601.2643516795,0.021786770494244802,inf,2
19,KNN_3,1.0,1.0,1.0,1.0,1.0,0.9993846153846153,0.0012307692307692351,0.0021461290307343006,0.08091072499519214,1067.2919921875,4.97912153816567e-05,20083.864037759646,0.0009369507195031233,812.4999999999972,1
21,SVC_rbf,1.0,1.0,1.0,1.0,1.0,0.9993843785160182,0.000753979348242826,1.123398567957338,0.045812885044142604,108.3134765625,2.8192544642549296e-05,35470.37036489288,0.00923246147881673,1326.296273671863,2
9,AdaBoost_light,0.9969230769230769,1.0,0.9936143039591315,0.9967969250480462,0.9999772481138686,0.9981534908509504,0.0010435927717812382,0.18122748198220506,0.00944291497580707,28.630859375,5.811024600496659e-06,172086.69189156962,0.034819879622390026,958.228177733703,2
20,KNN_15,0.9950769230769231,1.0,0.9897828863346104,0.9948652118100129,0.9999772481138686,0.9935371587611772,0.0026478548030084968,0.002468663966283202,0.03132183902198449,1067.2919921875,1.9274977859682762e-05,51880.73404181116,0.0009323380390378772,377.6642128804791,1
1,DecisionTree_shallow,0.9938461538461538,0.987389659520807,1.0,0.9936548223350253,0.9998331528350366,0.9932292295848878,0.002031822127644117,0.005902320030145347,0.001201927021611482,3.4541015625,7.396473979147581e-07,1351995.5627765849,0.28772927948500465,492.16906657055296,5
2,DecisionTree_pruned,0.9932307692307693,0.9936061381074168,0.9923371647509579,0.9929712460063898,0.9998627302870075,0.9935383431041629,0.004285500627989066,0.006484180979896337,0.0011154179810546339,3.765625,6.8641106526439e-07,1456852.9713529933,0.263762527928503,233.34496638943236,5
22,SVC_linear,0.9741538461538461,0.9613947696139477,0.9859514687100894,0.9735182849936949,0.984378554982208,0.9750739622194586,0.0030170219617735475,3.5756623359629884,0.01966137404087931,122.203125,1.2099307102079575e-05,82649.3609562257,0.007971595212101541,331.4526750783587,2
12,LogReg_weak_reg,0.968,0.9632446134347274,0.9706257982120051,0.9669211195928753,0.9934004362294967,0.9681485166104105,0.002515052499578331,0.5913138409960084,0.0017254840349778533,1.2275390625,1.0618363292171404e-06,941764.7263371272,0.7885696101829753,397.60601425523254,5
11,LogReg_strong_reg,0.9507692307692308,0.9443742098609356,0.9540229885057471,0.9491740787801779,0.9822004410832325,0.9498390477882396,0.005288385591083011,0.1443045850028284,0.001551364955957979,1.234375,9.546861267433716e-07,1047464.6818333929,0.7702434274586174,189.09362465667135,5
13,Ridge_alpha_small,0.9452307692307692,0.9414758269720102,0.9450830140485313,0.9432759719566602,,0.9387607034997336,0.005175728099800086,0.022755326004698873,0.002693487040232867,1.2578125,1.657530486297149e-06,603307.1537851207,0.7514878165312948,193.20953124230488,4
17,LDA_svd,0.9452307692307692,0.9414758269720102,0.9450830140485313,0.9432759719566602,0.9793746568257176,0.9387607034997336,0.005175728099800086,0.017834000987932086,0.0014062499976716936,1.96484375,8.653846139518114e-07,1155555.557468791,0.4810717235051231,193.20953124230488,4
18,LDA_lsqr,0.9452307692307692,0.9414758269720102,0.9450830140485313,0.9432759719566602,0.9793746568257176,0.9387607034997336,0.005175728099800086,0.01516381703549996,0.0013822479522787035,4.681640625,8.506141244792022e-07,1175621.2026366962,0.20190160777895447,193.20953124230488,4
14,Ridge_alpha_large,0.944,0.9413265306122449,0.9425287356321839,0.9419272495213784,,0.9378376265766567,0.005215213726650056,0.008034255995880812,0.0014330529957078397,1.2509765625,8.818787665894399e-07,1133942.7117259891,0.7546104605776737,191.746695804611,4
15,GaussianNB_default,0.916923076923077,0.9438356164383561,0.879948914431673,0.9107732980832782,0.9334568002354062,0.9072154912062533,0.006407062022807462,0.004903423017822206,0.0015888689667917788,1.580078125,9.7776551802571e-07,1022740.0962341008,0.5803023675953218,156.07777737132275,4
16,GaussianNB_smoothed,0.916923076923077,0.9438356164383561,0.879948914431673,0.9107732980832782,0.9334568002354062,0.9072154912062533,0.006407062022807462,0.004571986966766417,0.0013388419756665826,1.580078125,8.239027542563585e-07,1213735.4740397537,0.5803023675953218,156.07777737132275,4
