,model,accuracy,precision,recall,f1,roc_auc,cv_mean,cv_std,train_time_sec,inference_time_sec,model_size_kb,latency,throughput,efficiency,stability,interpretability
0,DecisionTree_default,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.009259395999833941,0.0017661850433796644,3.609375,1.086883103618255e-06,920062.1452950925,0.27705627705627706,inf,3
3,RandomForest_small,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15812003298196942,0.037697588035371155,219.8525390625,2.3198515714074557e-05,43106.206117889655,0.004548503302550982,inf,3
5,ExtraTrees_fast,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1433235440053977,0.12353005900513381,278.919921875,7.601849784931312e-05,13154.692979888128,0.0035852584257074233,inf,3
4,RandomForest_large,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0546589069999754,0.13253620301838964,1325.0029296875,8.156074031900902e-05,12260.80092074562,0.0007547153123924401,inf,3
6,ExtraTrees_large,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7970734479604289,0.1639476380078122,1701.60546875,0.00010089085415865366,9911.70119768708,0.0005876802927382458,inf,3
7,GradientBoosting_fast,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2783994240453467,0.002122841018717736,69.9697265625,1.3063637038262991e-06,765483.6069549627,0.014291895211377689,inf,3
10,AdaBoost_heavy,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0819365810020827,0.04900725599145517,163.9052734375,3.0158311379357027e-05,33158.3551685353,0.006101084968332748,inf,3
8,GradientBoosting_slow,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0209495519520715,0.005119458015542477,261.228515625,3.1504357018722938e-06,317416.4130395371,0.0038280660042318074,inf,3
23,SVC_poly,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.570949251006823,0.009190915967337787,45.8994140625,5.655948287592484e-06,176805.01114087465,0.021786770494244802,inf,3
19,KNN_3,1.0,1.0,1.0,1.0,1.0,0.9993846153846153,0.0012307692307692351,0.0024701000074855983,0.07730071898549795,1067.2919921875,4.7569673221844894e-05,21021.796709353493,0.0009369507195031233,812.4999999999972,3
21,SVC_rbf,1.0,1.0,1.0,1.0,1.0,0.9993843785160182,0.000753979348242826,1.128036399022676,0.04160143801709637,108.3134765625,2.5600884933597767e-05,39061.14974516496,0.00923246147881673,1326.296273671863,3
