auctionid,item,auction_type,price,estimated_market_value,winner,runner_up,winner_bid,runner_up_bid,winner_strategy,runner_up_strategy,winner_payoff,runner_up_payoff
1638843936,Cartier wristwatch,7 day auction,1625.0,510.0,carloss8055,jdrinaz,1625.0,1600.0,Late,Late,0.0,0.0
1638844284,Cartier wristwatch,7 day auction,500.0,510.0,njbirdmom,dre_313@yahoo.com,500.0,225.0,Early,Early,10.0,0.0
1638844464,Cartier wristwatch,7 day auction,740.0,510.0,adammurry,ps138,740.0,730.0,Late,Late,0.0,0.0
1638844729,Cartier wristwatch,7 day auction,320.0,510.0,sylvesterii,k.s.cohen@verizon.net,320.0,315.0,Late,Late,190.0,0.0
1638893549,Cartier wristwatch,3 day auction,177.5,510.0,eli.flint@flightsafety.co,schadenfreud,177.5,175.0,Late,Early,332.5,0.0
1638917885,Cartier wristwatch,7 day auction,227.5,510.0,nola,ps138,227.5,225.0,Late,Late,282.5,0.0
1639226378,Cartier wristwatch,7 day auction,1725.0,510.0,djpjohn@aol.com,lisalipman,1725.0,1700.0,Late,Late,0.0,0.0
1639253454,Cartier wristwatch,7 day auction,255.0,510.0,cnmba@aol.com,seriwan,255.0,250.0,Late,Early,255.0,0.0
1639309309,Cartier wristwatch,7 day auction,374.99,510.0,capitalsquare,lass1004,374.99,350.0,Early,Early,135.01,0.0
1639323228,Cartier wristwatch,7 day auction,185.0,510.0,helvet,hands157,185.0,150.0,Early,Early,325.0,0.0
1639333116,Cartier wristwatch,7 day auction,501.62,510.0,renob2,littlekittygirl,501.62,501.0,Late,Late,8.379999999999995,0.0
1639341131,Cartier wristwatch,7 day auction,256.51,510.0,surfingbig_boy,jannypie1,256.51,251.51,Late,Late,253.49,0.0
1639364679,Cartier wristwatch,7 day auction,1195.0,510.0,klove86650@aol.com,9lights,1195.0,1170.0,Late,Late,0.0,0.0
1639425502,Cartier wristwatch,7 day auction,224.5,510.0,gisbert,nola,224.5,222.0,Early,Early,285.5,0.0
1639453840,Cartier wristwatch,3 day auction,355.0,510.0,bella@thegrid.net,babaranda,355.0,350.0,Late,Late,155.0,0.0
1639672910,Cartier wristwatch,7 day auction,5400.0,510.0,esmodeus,akapson,5400.0,5300.0,Late,Late,0.0,0.0
