,auctionid,bid,bidtime,bidder,bidderrate,openbid,price,item,auction_type,duration_days,normalized_bidtime,bid_strategy
count,10681.0,10681.0,10681.0,10665,10670.0,10681.0,10681.0,10681,10681,10681.0,10681.0,10681
unique,,,,3387,,,,3,3,,,2
top,,,,warrencheryl,,,,Palm Pilot M515 PDA,7 day auction,,,Late
freq,,,,45,,,,5917,7041,,,5533
mean,4136147544.643573,207.58610897856005,3.979628108170489,,31.936738519212746,52.24625596854227,335.04358861529823,,,5.939612395843086,0.6705049552971543,
std,2489917991.0208526,323.03739553841797,2.3533861391554987,,120.59407432324467,168.45324471267978,433.56600873086404,,,1.5848666928226531,0.33951039122657184,
min,1638843936.0,0.01,0.000567,,-4.0,0.01,26.0,,,3.0,8.1e-05,
25%,3015328849.0,72.0,1.949930556,,1.0,1.0,186.51,,,5.0,0.3613194,
50%,3020526277.0,140.0,4.140833,,5.0,4.99,228.49,,,7.0,0.8218785714285713,
75%,8212135847.0,210.0,6.44806,,21.0,50.0,255.0,,,7.0,0.9748728571428572,
max,8215610555.0,5400.0,6.99999,,3140.0,5000.0,5400.0,,,7.0,0.9999985714285715,
