player_strategy,opponent_strategy,payoff
Late,Late,0.0
Late,Late,0.0
Early,Early,10.0
Early,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,190.0
Late,Late,0.0
Late,Early,332.5
Early,Late,0.0
Late,Late,282.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,255.0
Early,Late,0.0
Early,Early,135.01
Early,Early,0.0
Early,Early,325.0
Early,Early,0.0
Late,Late,8.379999999999995
Late,Late,0.0
Late,Late,253.49
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Early,285.5
Early,Early,0.0
Late,Late,155.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,406.5
Late,Late,0.0
Late,Late,55.0
Late,Late,0.0
Late,Late,468.55
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,210.0
Late,Late,0.0
Late,Late,307.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Late,0.0
Late,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,193.0
Late,Late,0.0
Early,Late,0.0
Late,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,309.99
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Early,60.0
Early,Early,0.0
Early,Late,140.0
Late,Early,0.0
Late,Late,160.01
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,355.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,54.0
Late,Late,0.0
Late,Late,108.0
Late,Late,0.0
Late,Late,75.0
Late,Late,0.0
Early,Late,0.0
Late,Early,0.0
Late,Late,0.0
Late,Late,0.0
Early,Early,155.0
Early,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,205.0
Late,Late,0.0
Late,Early,360.0
Early,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,80.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,110.0
Early,Late,0.0
Late,Late,233.95
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,105.0
Late,Late,0.0
Late,Late,184.0
Late,Late,0.0
Late,Late,469.13
Late,Late,0.0
Late,Early,484.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Early,0.0
Early,Early,0.0
Late,Early,136.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Early,Late,210.0
Late,Early,0.0
Early,Early,0.0
Early,Early,0.0
Late,Late,80.0
Late,Late,0.0
Late,Late,85.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Late,0.0
Late,Early,0.0
Late,Late,12.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,205.0
Late,Late,0.0
Late,Late,55.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,182.76999999999998
Late,Late,0.0
Late,Early,124.0
Early,Late,0.0
Late,Late,10.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,230.0
Late,Late,0.0
Late,Late,396.5
Late,Late,0.0
Early,Late,72.0
Late,Early,0.0
Late,Late,155.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,307.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,57.129999999999995
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,120.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,175.0
Late,Late,0.0
Late,Early,203.12
Early,Late,0.0
Late,Late,330.5
Late,Late,0.0
Early,Late,333.5
Late,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,103.0
Late,Late,0.0
Late,Early,105.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,307.5
Late,Late,0.0
Early,Early,105.0
Early,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,205.01999999999998
Late,Late,0.0
Late,Late,160.01
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Early,0.0
Early,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Early,0.0
Early,Early,0.0
Late,Early,307.5
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,385.75
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,355.62
Late,Late,0.0
Early,Early,130.0
Early,Early,0.0
Early,Early,105.0
Early,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Late,0.0
Late,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,9.0
Late,Late,0.0
Late,Late,18.0
Late,Late,0.0
Late,Late,14.0
Late,Late,0.0
Late,Late,24.0
Late,Late,0.0
Late,Late,23.49000000000001
Late,Late,0.0
Late,Late,18.0
Late,Late,0.0
Late,Late,21.5
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,23.900000000000006
Late,Late,0.0
Late,Late,21.49000000000001
Late,Late,0.0
Late,Early,19.0
Early,Late,0.0
Late,Early,29.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,19.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,2.460000000000008
Late,Late,0.0
Late,Late,5.5
Late,Late,0.0
Late,Late,18.44999999999999
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.47999999999998977
Late,Late,0.0
Late,Late,16.47
Late,Late,0.0
Late,Late,9.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,24.0
Late,Late,0.0
Late,Late,24.0
Late,Late,0.0
Late,Late,11.5
Late,Late,0.0
Late,Late,19.0
Late,Late,0.0
Late,Late,5.469999999999999
Late,Late,0.0
Late,Late,34.0
Late,Late,0.0
Late,Late,21.289999999999992
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,38.5
Late,Late,0.0
Late,Late,19.0
Late,Late,0.0
Late,Late,31.5
Late,Late,0.0
Late,Late,9.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Late,19.0
Late,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,39.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,6.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,25.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,48.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,11.490000000000009
Late,Late,0.0
Late,Early,6.5
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,6.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,13.97999999999999
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,9.0
Late,Late,0.0
Late,Late,17.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,19.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,6.5
Late,Late,0.0
Late,Late,6.780000000000001
Late,Late,0.0
Late,Late,9.0
Late,Late,0.0
Late,Late,19.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,54.0
Late,Late,0.0
Late,Early,9.0
Early,Late,0.0
Late,Late,3.490000000000009
Late,Late,0.0
Late,Late,24.0
Late,Late,0.0
Late,Late,1.0
Late,Late,0.0
Late,Late,31.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,1.5
Late,Late,0.0
Late,Late,36.400000000000006
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,24.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,44.99000000000001
Late,Late,0.0
Late,Late,20.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,11.5
Late,Late,0.0
Late,Early,0.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,14.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,29.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,1.5
Late,Late,0.0
Late,Late,14.0
Late,Late,0.0
Late,Late,3.009999999999991
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,6.5
Late,Late,0.0
Late,Late,23.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Early,0.0
Early,Early,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,31.5
Late,Late,0.0
Late,Late,14.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,14.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,19.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,19.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Late,11.5
Late,Early,0.0
Early,Early,0.0
Early,Early,0.0
Late,Late,29.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Early,29.0
Early,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,31.50999999999999
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,54.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,14.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,9.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Early,Late,21.400000000000006
Late,Early,0.0
Late,Late,17.99000000000001
Late,Late,0.0
Late,Late,24.0
Late,Late,0.0
Late,Late,16.5
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,6.5
Late,Late,0.0
Late,Late,14.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,4.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
Late,Late,13.349999999999994
Late,Late,0.0
Late,Late,0.0
Late,Late,0.0
